feature,importance
congestion_n,0.20976097618413192
congestion,0.19358925564336485
dispersion_n,0.11010107798913933
density,0.09015148707146327
density_n,0.06575732771302592
avg_track_risk,0.06500689784896575
velocity_n,0.06448501248973082
avg_velocity,0.06105782454914078
track_risk_n,0.05900897065274852
avg_acc,0.016195383499108488
acc_n,0.015622180801480375
turbulence_n,0.012397012042678643
turbulence,0.00987135886048929
cell_y,0.00872268437686669
cell_x,0.007224754182621097
flow_conflict_n,0.006014408718716879
flow_conflict,0.005033387376327403
